Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,ai-description
BGPER-1027,bgper-1027,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 1.09ct diamonds (56 pcs). Total weight: 5.08g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"RG, Polki Jewellery, EARRINGS, 18K",TRUE,Active,BGPER-1027,,Title,Default Title,,,,,,,,1070.0,,,TRUE,,,,,,shopify,1,DENY,5.08,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGPER-1027.jpg,1,BGPER-1027,,FALSE,BGPER-1027 | BG Jewels,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 1.09ct diamonds (56 pcs). Total weight: 5.08g.,RG,Apparel & Accessories > Jewelry,,,BGPER-1027,,,New,FALSE,,,,,,"The image features a pair of stud earrings with a rose gold setting. Each earring showcases a triangular, clear stone that resembles a diamond or other transparent gem. The stones are surrounded by a delicate halo of smaller stones, enhancing their brilliance. The design is modern, with clean lines and a minimalist aesthetic."
BGPER-1028,bgper-1028,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 1.78ct diamonds (54 pcs). Total weight: 7.07g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"RG, Polki Jewellery, EARRINGS, 18K",TRUE,Active,BGPER-1028,,Title,Default Title,,,,,,,,1940.0,,,TRUE,,,,,,shopify,1,DENY,7.07,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGPER-1028.jpg,1,BGPER-1028,,FALSE,BGPER-1028 | BG Jewels,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 1.78ct diamonds (54 pcs). Total weight: 7.07g.,RG,Apparel & Accessories > Jewelry,,,BGPER-1028,,,New,FALSE,,,,,,"The image features a pair of earrings crafted in rose gold. They showcase a circular design with sparkling stones, likely diamonds, adorning the outer circle. The design is modern, combining clean lines with a luxurious touch. The central part of each earring appears to have a polished metal surface, adding an elegant contrast to the overall look."
BGPER-1029,bgper-1029,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 2.11ct diamonds (244 pcs). Total weight: 10.74g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"RG, Polki Jewellery, EARRINGS, 18K",TRUE,Active,BGPER-1029,,Title,Default Title,,,,,,,,1820.0,,,TRUE,,,,,,shopify,1,DENY,10.74,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGPER-1029.jpg,1,BGPER-1029,,FALSE,BGPER-1029 | BG Jewels,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 2.11ct diamonds (244 pcs). Total weight: 10.74g.,RG,Apparel & Accessories > Jewelry,,,BGPER-1029,,,New,FALSE,,,,,,"These are rose gold earrings designed in a floral motif, each petal set with pear-shaped stones that resemble diamonds. The design is embellished with additional small stones along the edges, adding extra sparkle. The overall style is elegant and modern, suitable for both formal occasions and contemporary fashion settings."
BGPNL-1016,bgpnl-1016,Elegant Rose 18K Gold Necklace. from the Polki Jewellery collection. set with 3.36ct diamonds (23 pcs) and 10.47ct colour stones (35 pcs). Total weight: 38.85g.,BG Jewels,Apparel & Accessories > Jewelry,NECKLACE,"RG, Polki Jewellery, NECKLACE, 18K",TRUE,Active,BGPNL-1016,,Title,Default Title,,,,,,,,8210.0,,,TRUE,,,,,,shopify,1,DENY,38.85,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGPNL-1016.jpg,1,BGPNL-1016,,FALSE,BGPNL-1016 | BG Jewels,Elegant Rose 18K Gold Necklace. from the Polki Jewellery collection. set with 3.36ct diamonds (23 pcs) and 10.47ct colour stones (35 pcs). Total weight: 38.85g.,RG,Apparel & Accessories > Jewelry,,,BGPNL-1016,,,New,FALSE,,,,,,"This is a stunning necklace featuring a rose gold metal color. It is adorned with pear-shaped gemstones in a range of pastel hues, likely including diamonds, sapphires, or amethysts. The design has a modern elegance with a touch of whimsy, characterized by alternating sizes and colors of the gemstones that create a flowing pattern. The intricate setting highlights the brilliance and transparency of the stones, making it a captivating piece."
BGPNL-1017,bgpnl-1017,Elegant Rose 18K Gold Necklace. from the Polki Jewellery collection. set with 5.86ct diamonds (754 pcs). Total weight: 33.40g.,BG Jewels,Apparel & Accessories > Jewelry,NECKLACE,"RG, Polki Jewellery, NECKLACE, 18K",TRUE,Active,BGPNL-1017,,Title,Default Title,,,,,,,,7730.0,,,TRUE,,,,,,shopify,1,DENY,33.4,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGPNL-1017.jpg,1,BGPNL-1017,,FALSE,BGPNL-1017 | BG Jewels,Elegant Rose 18K Gold Necklace. from the Polki Jewellery collection. set with 5.86ct diamonds (754 pcs). Total weight: 33.40g.,RG,Apparel & Accessories > Jewelry,,,BGPNL-1017,,,New,FALSE,,,,,,"This is a necklace featuring rose gold metal. The design includes a series of circular links forming the chain, which culminates in an oval pendant. The pendant is accented with a central stone that resembles a diamond, surrounded by smaller stones. The style is modern, with a minimalistic yet elegant appearance."
BGSER-1000E,bgser-1000e,Elegant - Silver Earrings. set with 1.78ct diamonds (0 pcs) and 22.80ct colour stones (0 pcs). Total weight: 15.51g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1000E,,Title,Default Title,,,,,,,,641.67,,,TRUE,,,,,,shopify,1,DENY,15.51,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1000E.jpg,1,BGSER-1000E,,FALSE,BGSER-1000E | BG Jewels,Elegant - Silver Earrings. set with 1.78ct diamonds (0 pcs) and 22.80ct colour stones (0 pcs). Total weight: 15.51g.,-,Apparel & Accessories > Jewelry,,,BGSER-1000E,,,New,FALSE,,,,,,"The image showcases a pendant featuring a striking purple gemstone as the centerpiece, likely an amethyst or a similar stone. It is surrounded by a setting of silver or white gold adorned with small, sparkling diamonds or diamond-like stones. The design combines a modern elegance with a touch of traditional charm, evidenced by the intricate cluster of small stones above the main gem. This piece is notable for its bold color and sophisticated craftsmanship."
BGSER-1002E,bgser-1002e,Elegant - Silver Earrings. set with 1.26ct diamonds (0 pcs) and 19.45ct colour stones (0 pcs). Total weight: 15.63g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1002E,,Title,Default Title,,,,,,,,530.0,,,TRUE,,,,,,shopify,1,DENY,15.63,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1002E.jpg,1,BGSER-1002E,,FALSE,BGSER-1002E | BG Jewels,Elegant - Silver Earrings. set with 1.26ct diamonds (0 pcs) and 19.45ct colour stones (0 pcs). Total weight: 15.63g.,-,Apparel & Accessories > Jewelry,,,BGSER-1002E,,,New,FALSE,,,,,,"The image features a pair of earrings designed in a floral motif. They are crafted from metal with a silver color, and each earring is adorned with clear, faceted stones, likely resembling diamonds or high-quality crystal. The design style leans towards a modern interpretation with a classic floral twist. The stones are arranged petal-like around a central oval gem, creating an elegant and eye-catching piece."
BGSER-1004E,bgser-1004e,Elegant - Silver Earrings. set with 1.62ct diamonds (0 pcs) and 14.35ct colour stones (0 pcs). Total weight: 12.37g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1004E,,Title,Default Title,,,,,,,,653.33,,,TRUE,,,,,,shopify,1,DENY,12.37,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1004E.jpg,1,BGSER-1004E,,FALSE,BGSER-1004E | BG Jewels,Elegant - Silver Earrings. set with 1.62ct diamonds (0 pcs) and 14.35ct colour stones (0 pcs). Total weight: 12.37g.,-,Apparel & Accessories > Jewelry,,,BGSER-1004E,,,New,FALSE,,,,,,"The image showcases a pair of elegant earrings featuring a large central gemstone, possibly a smoky quartz, set in a reflective metal frame, likely silver. Surrounding each gemstone are numerous small, clear stones that resemble diamonds, enhancing the overall sparkle. The geometric design exudes a modern style, characterized by clean lines and contemporary aesthetics. The earring's drop style adds an element of sophistication and trendiness."
BGSER-1006E,bgser-1006e,Elegant - Silver Earrings. set with 1.96ct diamonds (0 pcs) and 20.50ct colour stones (0 pcs). Total weight: 18.62g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1006E,,Title,Default Title,,,,,,,,660.0,,,TRUE,,,,,,shopify,1,DENY,18.62,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1006E.jpg,1,BGSER-1006E,,FALSE,BGSER-1006E | BG Jewels,Elegant - Silver Earrings. set with 1.96ct diamonds (0 pcs) and 20.50ct colour stones (0 pcs). Total weight: 18.62g.,-,Apparel & Accessories > Jewelry,,,BGSER-1006E,,,New,FALSE,,,,,,"The image displays a pair of earrings featuring a floral design. The earrings are crafted from a metal that appears silver or white gold, and they are embellished with diamonds arranged around a central blue stone, possibly a sapphire. Surrounding the floral pattern are dangling green stones, which resemble emeralds. The overall design style is traditional, with intricate detailing and a combination of precious stones enhancing the elegance."
BGSER-1008E,bgser-1008e,Elegant - Silver Earrings. set with 1.38ct diamonds (0 pcs) and 34.85ct colour stones (0 pcs). Total weight: 17.35g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1008E,,Title,Default Title,,,,,,,,926.67,,,TRUE,,,,,,shopify,1,DENY,17.35,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1008E.jpg,1,BGSER-1008E,,FALSE,BGSER-1008E | BG Jewels,Elegant - Silver Earrings. set with 1.38ct diamonds (0 pcs) and 34.85ct colour stones (0 pcs). Total weight: 17.35g.,-,Apparel & Accessories > Jewelry,,,BGSER-1008E,,,New,FALSE,,,,,,"These are ornate earrings featuring a combination of silver-toned metal and light pink carved stones. Each earring is accented with a prominent pink gemstone at the top, adding a vibrant touch. The design style blends traditional and modern elements, with intricate detailing around the stones. The earrings' bold hoops make them a standout accessory."
BGSER-1010,bgser-1010,Elegant - Silver Earrings. set with 2.67ct diamonds (0 pcs) and 47.20ct colour stones (0 pcs). Total weight: 17.86g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1010,,Title,Default Title,,,,,,,,991.67,,,TRUE,,,,,,shopify,1,DENY,17.86,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1010.jpg,1,BGSER-1010,,FALSE,BGSER-1010 | BG Jewels,Elegant - Silver Earrings. set with 2.67ct diamonds (0 pcs) and 47.20ct colour stones (0 pcs). Total weight: 17.86g.,-,Apparel & Accessories > Jewelry,,,BGSER-1010,,,New,FALSE,,,,,,"These are drop earrings featuring a blend of contemporary and elegant design. The metal appears to be silver-toned, enhancing the surrounding stones. Each earring features a large, translucent pink teardrop stone accented with a halo of smaller, clear stones, likely diamonds or cubic zirconia. The top round stones are a pale green, adding a subtle contrast to the design."
BGSER-1011,bgser-1011,Elegant - Silver Earrings. set with 1.43ct diamonds (0 pcs) and 8.50ct colour stones (0 pcs). Total weight: 11.44g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1011,,Title,Default Title,,,,,,,,743.33,,,TRUE,,,,,,shopify,1,DENY,11.44,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1011.jpg,1,BGSER-1011,,FALSE,BGSER-1011 | BG Jewels,Elegant - Silver Earrings. set with 1.43ct diamonds (0 pcs) and 8.50ct colour stones (0 pcs). Total weight: 11.44g.,-,Apparel & Accessories > Jewelry,,,BGSER-1011,,,New,FALSE,,,,,,"This is an earring featuring a mixed-metal color palette, with both gold and silver tones. The design includes marquise-cut stones, likely citrines, set in gold, arranged in a leaf or floral pattern. Green stones, possibly emeralds, are set in a vertical line down the center and at the top, enclosed by a halo of clear stones reminiscent of diamonds, enhancing its elegance. The style blends modern sensibilities with traditional motifs, resulting in a striking statement piece."
BGSER-1012,bgser-1012,Elegant - Silver Earrings. set with 1.25ct diamonds (0 pcs). Total weight: 8.32g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1012,,Title,Default Title,,,,,,,,528.33,,,TRUE,,,,,,shopify,1,DENY,8.32,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1012.jpg,1,BGSER-1012,,FALSE,BGSER-1012 | BG Jewels,Elegant - Silver Earrings. set with 1.25ct diamonds (0 pcs). Total weight: 8.32g.,-,Apparel & Accessories > Jewelry,,,BGSER-1012,,,New,FALSE,,,,,,"The image depicts a pair of earrings with a silver metal base. They feature a cluster design with small clear stones or diamonds set around a central, larger stone, possibly a diamond. The style appears to be slightly traditional with an intricate pattern, potentially polki or vintage-inspired. The earrings have a textured look, adding depth and visual interest."
BGSER-1013,bgser-1013,Elegant - Silver Earrings. set with 2.15ct diamonds (0 pcs). Total weight: 8.34g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1013,,Title,Default Title,,,,,,,,981.67,,,TRUE,,,,,,shopify,1,DENY,8.34,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1013.jpg,1,BGSER-1013,,FALSE,BGSER-1013 | BG Jewels,Elegant - Silver Earrings. set with 2.15ct diamonds (0 pcs). Total weight: 8.34g.,-,Apparel & Accessories > Jewelry,,,BGSER-1013,,,New,FALSE,,,,,,"The image showcases a pair of intricate earrings crafted in a silver-colored metal. The design features an ornate lace-like pattern surrounding an oval center, which is embellished with a clear stone resembling a diamond or clear crystal. The style appears to blend traditional and modern elements, offering both vintage charm and contemporary appeal. The earrings are likely versatile for both formal and semi-formal occasions."
BGSER-1014,bgser-1014,Elegant - Silver Earrings. set with 4.40ct diamonds (0 pcs) and 13.30ct colour stones (0 pcs). Total weight: 18.91g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1014,,Title,Default Title,,,,,,,,1596.67,,,TRUE,,,,,,shopify,1,DENY,18.91,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1014.jpg,1,BGSER-1014,,FALSE,BGSER-1014 | BG Jewels,Elegant - Silver Earrings. set with 4.40ct diamonds (0 pcs) and 13.30ct colour stones (0 pcs). Total weight: 18.91g.,-,Apparel & Accessories > Jewelry,,,BGSER-1014,,,New,FALSE,,,,,,"The image shows a pair of earrings made of silver-toned metal. They feature multiple emerald stones and a series of clear gemstones, likely diamonds, arranged in a circular design. The earrings exhibit a modern style with a touch of elegance, incorporating a geometric square pattern at the top and a dangling circular element. Notable for their intricate detailing and the contrast between green emeralds and clear stones, these earrings are visually striking."
BGSER-1015,bgser-1015,Elegant - Silver Earrings. set with 0.47ct diamonds (0 pcs) and 4.85ct colour stones (0 pcs). Total weight: 4.93g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1015,,Title,Default Title,,,,,,,,260.0,,,TRUE,,,,,,shopify,1,DENY,4.93,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1015.jpg,1,BGSER-1015,,FALSE,BGSER-1015 | BG Jewels,Elegant - Silver Earrings. set with 0.47ct diamonds (0 pcs) and 4.85ct colour stones (0 pcs). Total weight: 4.93g.,-,Apparel & Accessories > Jewelry,,,BGSER-1015,,,New,FALSE,,,,,,"This image features a pair of earrings with a modern design. They are set in silver-colored metal and each earring showcases a large, cushion-cut yellow gemstone as the focal point. The central stones are surrounded by a halo of small, clear stones resembling diamonds, adding a touch of sparkle. The combination of the vibrant yellow gems with the bright halo creates an elegant and contemporary look."
